Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
CRMD,CorMedix Inc.,5.92,177993916.8,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/crmd,
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",11.03,423152283.83,,,,,https://old.nasdaq.com/symbol/crf,
CLM,"Cornerstone Strategic Value Fund, Inc.",11.33,822370862.39,,1987.0,,,https://old.nasdaq.com/symbol/clm,
CVU,"CPI Aerostructures, Inc.",8.0,94712528.0,,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/cvu,
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.12,163191378.48,,,,,https://old.nasdaq.com/symbol/cik,
DHY,Credit Suisse High Yield Bond Fund,2.51,259729205.21,,1998.0,,,https://old.nasdaq.com/symbol/dhy,
CRHM,CRH Medical Corporation,3.09,222584621.22,,2015.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/crhm,
CTEK,"CynergisTek, Inc.",3.04,29777246.88,,2017.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ctek,
DXR,Daxor Corporation,9.7,36344522.6,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxr,
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.74,71298854.0,,1993.0,,,https://old.nasdaq.com/symbol/vcf,
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.44,60862287.36,,1993.0,,,https://old.nasdaq.com/symbol/vfl,
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.11,150830222.25,,1993.0,,,https://old.nasdaq.com/symbol/vmm,
DLA,"Delta Apparel, Inc.",23.51,162722513.67,,,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/dla,
DNN,Denison Mine Corp,0.4716,278346049.9956,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/dnn,
DGSE,"DGSE Companies, Inc.",1.16,31232281.96,,,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/dgse,
DSS,"Document Security Systems, Inc.",0.3404,10117337.1428,,,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/dss,
DPW,"DPW Holdings, Inc.",1.92,2255026.56,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dpw,
DXF,Dunxin Financial Holdings Limited,1.44,30025863.36,,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dxf,
GRF,"Eagle Capital Growth Fund, Inc.",8.0155,31201992.9585,,,,,https://old.nasdaq.com/symbol/grf,
EVM,Eaton Vance California Municipal Bond Fund,11.38,243467680.24,,2002.0,,,https://old.nasdaq.com/symbol/evm,
CEV,Eaton Vance California Municipal Income Trust,13.59,96945284.25,,1999.0,,,https://old.nasdaq.com/symbol/cev,
EVV,Eaton Vance Limited Duration Income Fund,12.59,1462290956.62,,2003.0,,,https://old.nasdaq.com/symbol/evv,
